17:04:21.557 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lyonjohn.blog.JohnlyonblogApplicationTests], using SpringBootContextLoader
17:04:21.562 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.lyonjohn.blog.JohnlyonblogApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
17:04:21.563 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.lyonjohn.blog.JohnlyonblogApplicationTests]: LyonjohnblogApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
17:04:21.732 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.lyonjohn.blog.LyonjohnblogApplication for test class com.lyonjohn.blog.JohnlyonblogApplicationTests
17:04:21.838 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
17:04:21.857 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@37c7595, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3ed242a4, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1199fe66, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@614df0a4, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1fdf1c5, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2d96543c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@73a2e526, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7d64e326, org.springframework.test.context.event.EventPublishingTestExecutionListener@13f95696, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@cd1d761, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@68be8808, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@32193bea, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6b8d96d9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@69653e16, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@758705fa]
17:04:22.542 [main] INFO  com.lyonjohn.blog.JohnlyonblogApplicationTests - Starting LyonjohnblogApplicationTests using Java 20.0.1 on liangzhanbodeMacBook-Pro.local with PID 60176 (started by liangzhanbo in /Users/liangzhanbo/Desktop/lyonjohn-blog-server/lyonjohnblog)
17:04:22.546 [main] INFO  com.lyonjohn.blog.JohnlyonblogApplicationTests - No active profile set, falling back to 1 default profile: "default"
17:04:24.644 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.Posts"
17:04:24.860 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.PostsPage"
17:04:26.059 [main] INFO  com.lyonjohn.blog.JohnlyonblogApplicationTests - Started LyonjohnblogApplicationTests in 4.145 seconds (JVM running for 5.754)
