15:07:07.604 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
15:07:07.623 [main] INFO  com.lyonjohn.blog.LyonjohnblogApplication - Started LyonjohnblogApplication in 2.436 seconds (JVM running for 3.212)
15:07:37.744 [main] INFO  com.lyonjohn.blog.LyonjohnblogApplication - Starting LyonjohnblogApplication using Java 20.0.1 on liangzhanbodeMacBook-Pro.local with PID 19250 (/Users/liangzhanbo/Desktop/lyonjohn-blog-server/lyonjohnblog/target/classes started by liangzhanbo in /Users/liangzhanbo/Desktop/lyonjohn-blog-server/lyonjohnblog)
15:07:37.746 [main] INFO  com.lyonjohn.blog.LyonjohnblogApplication - No active profile set, falling back to 1 default profile: "default"
15:07:38.891 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
15:07:38.898 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
15:07:38.899 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
15:07:38.899 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
15:07:38.968 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
15:07:38.970 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1171 ms
15:07:39.162 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.Posts"
15:07:39.278 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.PostsPage"
15:07:39.686 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
15:07:39.700 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
